C�digo do Cliente;Nome Fantasia;CNPJ;Regi�o (DF);Segmenta��o;Setor;Data de Cadastro;Representante;Dia de Visita;Frequ�ncia de Visita;Qtd Equipamentos (Freezers);Tipo de Pagamento;Prazo Boleto (Dias);Limite de Cr�dito (R$);Telefone Contato;E-mail Contato;Comprou no M�s;Status;Latitude;Longitude
CLI-0011;da Paz Mercado;07.124.598/0001-70;Taguatinga;Emp�rio;007;16/10/2024;Mariana Souza;Ter�a-feira;Semanal;5;Boleto;21;22535,73;41 95176-0532;caldeiraana-julia@castro.com.br;N�o;Ativo;-15,938316;-47,401432
CLI-0012;Mendes Mercado;96.103.728/0001-18;Vicente Pires;Conveni�ncia;002;28/02/2024;Roberto Lima;Segunda-feira;Semanal;0;PIX;0;23021,46;+55 27 96717-6181;pachecoleonardo@vargas.gov.br;;Prospec��o;-15,947386;-47,446697
CLI-0013;Cunha Bar;94.358.012/0001-36;Samambaia;Bar/Botequim;010;21/09/2025;Mariana Souza;Quinta-feira;Mensal;2;Boleto;21;11988,9;+55 69 95168-2129;davicostela@rezende.br;Sim;Ativo;-16,046176;-47,790327
CLI-0014;Novaes Distribuidora;43.580.796/0001-01;Sudoeste/Octogonal;Restaurante;004;16/03/2026;Carlos Eduardo;Sexta-feira;Semanal;7;PIX;0;2254,16;+55 64 93153-8967;ebarros@moreira.br;N�o;Ativo;-15,850004;-47,375396
CLI-0015;Cavalcante Restaurante;72.518.049/0001-41;�guas Claras;Lanchonete;003;09/02/2026;Mariana Souza;Quinta-feira;Mensal;2;Boleto;30;13568,25;53 91087-0161;benjaminbrito@moreira.com;Sim;Ativo;-15,860211;-47,679084
CLI-0016;Borges Restaurante;97.341.026/0001-35;Plano Piloto;Bar/Botequim;007;07/04/2026;Roberto Lima;Sexta-feira;Mensal;3;PIX;0;12082,6;+55 44 94278-6882;correiathomas@fonseca.com;N�o;Ativo;-15,791335;-47,364919
CLI-0017;Alves Moraes e Filhos Mercado;32.647.985/0001-38;Ceil�ndia;Bar/Botequim;004;25/11/2024;Juliana Alves;Ter�a-feira;Semanal;2;PIX;0;12596,26;87 97871-4092;joana10@pacheco.br;Sim;Ativo;-15,604774;-47,936201
CLI-0018;Ferreira Distribuidora;84.960.172/0001-05;Vicente Pires;Bar/Botequim;005;05/10/2025;Juliana Alves;Segunda-feira;Quinzenal;0;PIX;0;4165,49;+55 91 95937-8436;qda-rosa@farias.com.br;Sim;Ativo;-15,567463;-48,017853
CLI-0019;Machado Mercado;62.410.895/0001-90;Taguatinga;Supermercado;010;13/05/2025;Juliana Alves;Segunda-feira;Mensal;0;PIX;0;6495,38;53 95635-6799;diogolopes@da.br;;Prospec��o;-15,701794;-47,944873
CLI-0020;Monteiro Garcia - ME Mercado;02.413.659/0001-03;Sobradinho;Lanchonete;009;30/11/2023;Juliana Alves;Ter�a-feira;Quinzenal;5;PIX;0;16246,42;+55 92 90592-3031;cauesousa@rocha.com;;Prospec��o;-16,044942;-48,158676
CLI-0021;Aparecida Vasconcelos S/A Distribuidora;16.794.028/0001-88;Guar�;Supermercado;009;07/09/2023;Juliana Alves;Segunda-feira;Mensal;2;Boleto;28;22635,31;+55 31 92879-5429;sousaoliver@caldeira.edu.br;;Prospec��o;-15,919513;-47,95714
CLI-0022;Machado Mercado;79.534.618/0001-91;�guas Claras;Lanchonete;003;17/05/2026;Carlos Eduardo;Quinta-feira;Mensal;7;Boleto;30;30381,7;+55 16 98220-6371;montenegroguilherme@camargo.org;N�o;Ativo;-15,782292;-47,434511
CLI-0023;Rodrigues Bar;60.319.452/0001-62;Samambaia;Emp�rio;003;18/11/2025;Juliana Alves;Segunda-feira;Semanal;7;Boleto;28;12245,51;+55 17 93137-1786;marianeteixeira@sa.br;N�o;Ativo;-16,036626;-47,669075
CLI-0024;da Rocha Bar;57.631.092/0001-25;Sudoeste/Octogonal;Bar/Botequim;004;03/07/2025;Roberto Lima;Ter�a-feira;Semanal;1;Boleto;28;32829,26;32 90587-6319;maria-ceciliasampaio@da.edu.br;Sim;Ativo;-15,580845;-47,984996
CLI-0025;Almeida Restaurante;36.701.542/0001-39;Vicente Pires;Restaurante;006;16/08/2024;Carlos Eduardo;Segunda-feira;Semanal;2;Boleto;14;25102,97;+55 55 98019-5085;aurora34@souza.com.br;Sim;Ativo;-15,711746;-47,358952
CLI-0026;Montenegro Bar;02.371.864/0001-45;Vicente Pires;Bar/Botequim;001;02/01/2024;Carlos Eduardo;Quinta-feira;Semanal;7;Boleto;14;24866,87;+55 49 97356-9374;alice35@macedo.com;Sim;Ativo;-15,604438;-47,469635
CLI-0027;Sampaio Restaurante;64.895.123/0001-10;Sudoeste/Octogonal;Emp�rio;005;11/04/2026;Carlos Eduardo;Ter�a-feira;Mensal;5;PIX;0;0;21 97498-7338;mfogaca@rios.com.br;N�o;Inativo;-15,864103;-47,911975
CLI-0028;S� Aparecida Ltda. Restaurante;79.302.418/0001-03;Samambaia;Bar/Botequim;006;22/11/2025;Carlos Eduardo;Quinta-feira;Semanal;6;Boleto;7;3901,81;+55 22 97236-2291;erick28@cavalcanti.com.br;Sim;Ativo;-16,029458;-47,509659
CLI-0029;Pimenta Bar;03.276.185/0001-50;�guas Claras;Conveni�ncia;007;23/06/2025;Mariana Souza;Quarta-feira;Semanal;7;Boleto;21;10208,3;16 92930-7915;ayllasilva@teixeira.edu.br;Sim;Ativo;-15,699414;-47,596518
CLI-0030;da Luz Oliveira S.A. Mercado;62.875.430/0001-04;Sobradinho;Conveni�ncia;009;26/04/2026;Carlos Eduardo;Ter�a-feira;Quinzenal;0;Boleto;30;16039,98;+55 75 95130-0446;andrepacheco@goncalves.com.br;Sim;Ativo;-15,948616;-48,177214
CLI-0031;Marques e Filhos Distribuidora;41.028.756/0001-26;Sudoeste/Octogonal;Lanchonete;010;26/11/2024;Carlos Eduardo;Quarta-feira;Quinzenal;7;Boleto;7;6393,98;27 93292-0019;moliveira@souza.com;Sim;Ativo;-15,686891;-47,998059
CLI-0032;Andrade Le�o Ltda. Restaurante;69.431.728/0001-74;Ceil�ndia;Lanchonete;004;24/06/2024;Juliana Alves;Ter�a-feira;Quinzenal;7;Boleto;28;28435,04;13 95001-5502;macedolucca@machado.net;N�o;Ativo;-16,024699;-48,213344
CLI-0033;Cavalcanti Bar;32.459.076/0001-76;Ceil�ndia;Restaurante;008;01/07/2024;Roberto Lima;Ter�a-feira;Quinzenal;2;Boleto;30;18106,63;19 93186-9504;luisa73@brito.com;Sim;Ativo;-15,830822;-47,695735
CLI-0034;Santos e Filhos Mercado;65.790.124/0001-63;�guas Claras;Bar/Botequim;004;12/07/2026;Juliana Alves;Quarta-feira;Quinzenal;2;PIX;0;22871,8;62 94070-1326;caldeirasofia@da.br;;Prospec��o;-15,960386;-48,186488
CLI-0035;da Rocha Distribuidora;45.987.630/0001-30;Vicente Pires;Supermercado;010;06/11/2024;Carlos Eduardo;Sexta-feira;Mensal;5;Boleto;30;1619,54;34 99455-3719;gabriellycorreia@nunes.com.br;Sim;Ativo;-15,705733;-47,511616
CLI-0036;Cavalcanti Ltda. Restaurante;01.658.237/0001-27;Vicente Pires;Restaurante;002;14/11/2025;Mariana Souza;Quarta-feira;Semanal;6;PIX;0;5017,6;55 97697-4768;pietroandrade@barros.br;N�o;Ativo;-16,010846;-47,962922
CLI-0037;Sales - EI Bar;04.386.192/0001-77;Sobradinho;Conveni�ncia;007;11/02/2026;Carlos Eduardo;Segunda-feira;Mensal;0;PIX;0;25876,02;55 90791-7094;rsampaio@da.com;Sim;Ativo;-15,56739;-47,588436
CLI-0038;Casa Grande Mercado;07.285.139/0001-78;Sobradinho;Supermercado;007;21/06/2026;Mariana Souza;Segunda-feira;Semanal;5;Boleto;30;17883,08;91 95561-4445;lucas-gabrielda-mota@carvalho.com.br;Sim;Ativo;-15,918772;-47,63814
CLI-0039;Azevedo Garcia - ME Bar;64.958.320/0001-31;Taguatinga;Conveni�ncia;010;18/03/2025;Roberto Lima;Quinta-feira;Quinzenal;6;Boleto;21;33320,64;+55 92 94173-0934;xdas-neves@dias.org;Sim;Ativo;-15,835939;-48,240246
CLI-0040;Pinto Bar;25.619.834/0001-00;Ceil�ndia;Supermercado;001;30/10/2025;Juliana Alves;Sexta-feira;Mensal;7;PIX;0;27847,02;24 98586-9643;vmachado@brito.br;Sim;Ativo;-15,803355;-47,98611
CLI-0041;da Mata Mercado;56.837.401/0001-55;�guas Claras;Conveni�ncia;007;09/02/2026;Mariana Souza;Ter�a-feira;Semanal;4;Boleto;14;29508,35;+55 65 90988-4984;arthur-miguelrodrigues@vieira.br;N�o;Ativo;-15,807158;-47,451066
CLI-0042;da Costa Bar;42.695.730/0001-02;Samambaia;Emp�rio;006;21/07/2024;Juliana Alves;Sexta-feira;Semanal;5;Boleto;7;28635,19;21 91315-0438;idas-neves@duarte.br;Sim;Ativo;-15,597977;-47,614382
CLI-0043;Mendon�a Mercado;72.501.934/0001-18;Taguatinga;Lanchonete;005;01/01/2026;Mariana Souza;Quarta-feira;Quinzenal;1;PIX;0;12228,59;43 97152-8333;luara73@azevedo.gov.br;;Prospec��o;-15,635642;-47,911366
CLI-0044;Rios S.A. Distribuidora;63.527.084/0001-36;Guar�;Lanchonete;006;05/11/2024;Carlos Eduardo;Segunda-feira;Mensal;4;Boleto;14;9075,22;94 98360-5645;maria-julia77@pacheco.net;Sim;Ativo;-15,792237;-48,199327
CLI-0045;da Rocha Correia Ltda. Restaurante;64.528.309/0001-31;Vicente Pires;Conveni�ncia;002;02/12/2024;Juliana Alves;Sexta-feira;Semanal;6;Boleto;7;31298,87;+55 38 93923-0388;borgesandre@cardoso.com;Sim;Ativo;-15,57227;-48,048764
CLI-0046;Gomes Caldeira - EI Distribuidora;42.370.819/0001-90;Sobradinho;Restaurante;010;03/12/2024;Carlos Eduardo;Segunda-feira;Quinzenal;6;PIX;0;16454,4;+55 61 98945-5294;ycostela@rocha.br;Sim;Ativo;-16,009412;-47,751531
CLI-0047;S� Distribuidora;32.971.504/0001-45;Guar�;Emp�rio;008;14/06/2026;Juliana Alves;Quinta-feira;Semanal;7;Boleto;7;6769,12;73 95643-6656;portoisabella@camargo.net;N�o;Ativo;-15,54661;-47,387168
CLI-0048;Mendon�a Oliveira Ltda. Bar;40.923.167/0001-49;Ceil�ndia;Supermercado;002;08/11/2023;Roberto Lima;Segunda-feira;Semanal;0;Boleto;28;14981,03;+55 18 98816-9238;caiocostela@peixoto.com.br;Sim;Ativo;-15,728989;-48,180039
CLI-0049;Andrade e Filhos Restaurante;86.547.239/0001-00;Taguatinga;Lanchonete;007;23/10/2024;Carlos Eduardo;Ter�a-feira;Quinzenal;7;Boleto;30;30806,49;+55 33 92714-4885;sabrina29@melo.com;Sim;Ativo;-15,54899;-47,509716
CLI-0050;Nunes da Concei��o e Filhos Mercado;05.794.126/0001-07;Plano Piloto;Supermercado;005;30/12/2023;Mariana Souza;Segunda-feira;Quinzenal;2;Boleto;7;29632,04;12 91489-0802;maria-laura66@almeida.com.br;Sim;Ativo;-15,622319;-47,817667
